AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|G|CHIMBORAZO|PALLATANGA|315884,7000|290208,1700|0,0000|39590,0500|0,0000|339176,8300|251676,0200|26992,4000|0,0000|662502,6000|645682,9200
2025|1|F|ORELLANA|LA JOYA DE LOS SACHAS|402033,1700|15631,3900|0,0000|2453,3600|0,0000|358614,9200|45740,1800|176291,9000|2268,8000|622044,9800|420117,9200
2025|1|N|AZUAY|PAUTE|103458,7800|11186,7700|19866,8800|0,0000|0,0000|64582,5900|48346,8000|0,0000|110,0000|114095,5300|134512,4300
2025|1|F|EL ORO|HUAQUILLAS|43158,2500|35753,3300|0,0000|15592,8000|0,0000|62851,4000|14555,2900|0,0000|1269,0000|101710,2000|94504,3800
2025|1|H|CARCHI|BOLIVAR|2550,0100|34611,4000|0,0000|17927,3600|0,0000|3015,5000|32759,6200|0,0000|0,0000|36176,3400|55088,7700
2025|1|A|LOS RIOS|BABA|51094,1300|7817112,8300|0,0000|0,0000|0,0000|942933,0700|3503307,8600|0,0000|90196,5700|4546057,7900|7868206,9600
2025|1|J|GALAPAGOS|SANTA CRUZ|103895,9300|107,3100|0,0000|0,0000|0,0000|71747,7700|5237,0400|0,0000|104,2900|77089,1000|104003,2400
2025|1|F|COTOPAXI|PUJILI|30838,2100|14681,0000|0,0000|4900,0000|0,0000|112271,2500|31311,4900|0,0000|539,1000|151795,5800|50419,2100
2025|1|F|AZUAY|GUACHAPALA|8033,2600|0,0100|0,0000|0,0000|0,0000|24612,4500|218,3200|0,0000|0,0000|25922,5700|8033,2700
2025|1|C|EL ORO|HUAQUILLAS|426467,0200|268164,2800|0,0000|2436,3000|0,0000|496155,7400|381580,5400|13570,1000|4288,5900|897985,1800|697067,6000
2025|1|W|COTOPAXI|PUJILI|176,7900|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|176,7900
2025|1|E|PICHINCHA|MEJIA|179824,4700|63229,5100|0,0000|9400,5000|0,0000|73940,1100|20143,8400|0,0000|7006,3300|101388,0800|252454,4800
2025|1|Q|LOS RIOS|VALENCIA|1596,2700|143715,2100|0,0000|0,0000|0,0000|4323,4600|133580,3900|0,0000|0,0000|137903,8500|145311,4800
2025|1|Q|AZUAY|SIGSIG|88,4400|14620,0900|0,0000|0,0000|0,0000|4936,9300|5387,0900|0,0000|0,0000|10324,0200|14708,5300
2025|1|H|AZUAY|SIGSIG|36173,7800|90238,1600|0,0000|0,0000|0,0000|47243,3900|53439,2400|0,0000|1689,8000|102372,4300|126411,9400
2025|1|M|SUCUMBIOS|GONZALO PIZARRO|11767,9700|2104,0200|0,0000|0,0000|0,0000|40609,2400|6336,9700|0,0000|12800,0000|69090,3100|13871,9900
2025|1|G|LOS RIOS|BABA|717774,1000|1181845,8600|0,0000|40414,9800|0,0000|779025,1600|835618,2200|0,0000|37527,0500|1694376,6600|1940034,9400
2025|1|G|GUAYAS|ISIDRO AYORA|477623,2400|815371,6300|0,0000|510289,1100|0,0000|506503,2700|759059,9800|85,0000|14264,2500|1687571,2500|1803283,9800
2025|1|C|EL ORO|EL GUABO|536226,6700|75472,6000|0,0000|3244,8100|1213652,2000|652106,4500|468797,3500|171518,4700|19528,9300|1335869,7000|1828596,2800
2025|1|R|EL ORO|MACHALA|837679,2500|18741,2500|0,0000|0,0000|0,0000|623407,0000|189704,4400|0,0000|29574,1300|843977,4000|856420,5000
2025|1|D|IMBABURA|ANTONIO ANTE|8712,4400|41168,9200|0,0000|0,0000|0,0000|28755,3600|0,0000|15290,0500|0,0000|44045,4100|49881,3600
2025|1|K|GUAYAS|SAMBORONDON|1245678,6300|1227728,5600|0,0000|0,0000|111529,4800|3895822,1600|377388,6200|1606,7200|12058,2600|4299735,5300|2584936,6700
2025|1|G|COTOPAXI|SAQUISILI|876369,8300|1945095,5500|0,0000|115989,4500|306041,4100|990951,1300|1031573,4700|732361,7700|43416,1000|2895986,4200|3243496,2400
2025|1|I|ESMERALDAS|ESMERALDAS|602740,9400|216130,2500|7888,7500|0,0000|0,0000|371287,5700|522272,9200|1945,3600|10667,7000|907243,1600|826759,9400
2025|1|A|AZUAY|CUENCA|554899,5400|3463881,8200|0,0000|0,0000|615067,5700|1165064,8600|2604608,4900|0,0100|48718,0000|3827969,7800|4633848,9300
2025|1|H|LOS RIOS|VINCES|134500,9100|367429,2800|0,0000|0,0000|0,0000|146927,0800|241541,6300|0,0000|2650,0000|391118,7100|501930,1900
2025|1|S|NAPO|CARLOS JULIO AROSEMENA TOLA|8584,4500|1,1100|0,0000|0,0000|0,0000|8823,2300|191,0000|0,0000|0,0000|9014,2300|8585,5600
2025|1|G|SUCUMBIOS|PUTUMAYO|78552,6800|25373,6900|0,0000|6976,6200|0,0000|285937,8100|47457,6800|0,0000|34,0000|355739,8000|110902,9900
2025|1|I|GUAYAS|PLAYAS|308547,3000|75900,5400|57622,9000|0,0000|0,0000|252867,9700|85651,3900|1112,9700|38,0100|339671,5900|442070,7400
2025|1|C|TUNGURAHUA|MOCHA|38330,7700|29284,6400|0,0000|0,0000|0,0000|19214,3000|21849,1700|0,0000|3166,5000|44313,6600|67615,4100
2025|1|O|MANABI|EL CARMEN|1481,3200|14196,4100|0,0000|0,0000|0,0000|521782,2600|38530,1200|0,0000|800,0000|561112,3800|15677,7300
2025|1|H|AZUAY|GIRON|26516,7700|30475,6700|0,0000|1995,7100|0,0000|32350,1500|2500,1100|0,0000|25,0000|41086,8900|58988,1500
2025|1|Q|SUCUMBIOS|SHUSHUFINDI|25,8800|73700,3900|1,0000|0,0000|0,0000|153810,1700|50034,7200|0,0000|264,6600|204769,8000|73727,2700
2025|1|I|ZAMORA CHINCHIPE|YANTZAZA|179623,8300|34263,3400|0,0000|3150,9000|0,0000|131355,6500|48285,1000|86,5300|4328,3200|191153,3300|217038,0700
2025|1|H|TUNGURAHUA|TISALEO|19032,0100|395454,6500|0,0000|52703,4400|0,0000|70064,9700|204609,5900|91,0000|0,0000|332999,9000|467190,1000
2025|1|R|EL ORO|LAS LAJAS|0,0000|0,0000|0,0000|0,0000|0,0000|980,0000|0,0000|0,0000|0,0000|980,0000|0,0000
2025|1|C|AZUAY|GIRON|608,3200|532,8300|0,0000|0,0000|0,0000|3312,2300|1030,9400|0,0000|0,0000|4343,1700|1141,1500
2025|1|C|TUNGURAHUA|PATATE|791770,4900|10686,9100|0,0000|0,0000|0,0000|602412,6400|17158,1300|0,0000|0,0000|619570,7700|802457,4000
2025|1|I|SANTA ELENA|SALINAS|829470,5300|194611,8800|140977,9500|0,0000|0,0000|638054,3300|202017,1900|6314,8900|22457,4500|869276,6600|1165060,3600
2025|1|Q|TUNGURAHUA|SANTIAGO DE PILLARO|5573,5300|70073,2400|0,0000|0,0000|0,0000|20222,1300|24328,8800|0,0000|1937,7000|46488,7100|75646,7700
2025|1|S|TUNGURAHUA|SAN PEDRO DE PELILEO|213884,0500|910457,4800|10,0000|0,0000|0,0000|371300,4600|28608,9500|418014,2000|3398,7500|822197,2500|1124351,5300
2025|1|E|MORONA SANTIAGO|PALORA|0,0000|1483,0600|0,0000|0,0000|0,0000|244,3200|42,4300|0,0000|150,0000|436,7500|1483,0600
