AÑO;MES;CODIGO_SECTOR_N1;PROVINCIA;CANTON;VENTAS_NETAS_TARIFA_GRAVADA;VENTAS_NETAS_TARIFA_0;VENTAS_NETAS_TARIFA_VARIABLE;VENTAS_NETAS_TARIFA_5;EXPORTACIONES;COMPRAS_NETAS_TARIFA_GRAVADA;COMPRAS_NETAS_TARIFA_0;IMPORTACIONES;COMPRAS_RISE;TOTAL_COMPRAS;TOTAL_VENTAS
2025;1;H;SUCUMBIOS;CASCALES;10875,6;19825,71;0;0;0;54865,06;4123,68;0;241;59572,51;30701,31
2025;1;N;ESMERALDAS;SAN LORENZO;800,07;6059,59;0;0;0;3259,62;1457,75;0;4200;8917,37;6859,66
2025;1;F;AZUAY;PAUTE;64052,25;212,82;0;0;0;99133,25;5401,93;4341,13;200;138640,33;64265,07
2025;1;H;ESMERALDAS;SAN LORENZO;25338,09;103790,73;0;0;0;45249,95;32677,39;1256;0;79198,1;129128,82
2025;1;H;LOS RIOS;URDANETA;1507,14;95840,44;0;0;0;15817,47;27119,48;0;0;42936,95;97347,58
2025;1;L;MANABI;SAN VICENTE;24562,61;6301,6;0;0;0;14444,24;569,06;0;195;15208,3;30864,21
2025;1;N;AZUAY;CAMILO PONCE ENRIQUEZ;59399,67;37763,79;0;0;100;69978,15;7246,13;0;5090;85855,23;97263,46
2025;1;H;TUNGURAHUA;PATATE;1012,55;56641,5;0,01;0;0;19084,21;3854,37;0;211,82;23150,4;57654,06
2025;1;I;MORONA SANTIAGO;LIMON - INDANZA;17156,29;3512,02;0;0;0;17823,22;3745,27;0;0;21709;20668,31
2025;1;H;GUAYAS;NARANJITO;357010,36;391979,27;0;0;0;361541,53;684290,22;0;8037,4;1054054,87;748989,63
2025;1;B;ZAMORA CHINCHIPE;PAQUISHA;9449,44;1109205,34;0;0;0;933591,96;36642,96;295;4906,7;975959,6;1118654,78
2025;1;L;GUAYAS;GENERAL ANTONIO ELIZALDE;32511,48;3939,13;0;0;0;3514,67;3530,06;0;0;7671,16;36450,61
2025;1;I;AZUAY;PAUTE;48106,71;13737,56;8775,4;0;0;62641,52;24587,38;0;0;90015,09;70619,67
2025;1;Q;AZUAY;PUCARA;3584,3;0;0;0;0;4271,28;0;0;0;4271,28;3584,3
2025;1;M;MORONA SANTIAGO;PABLO SEXTO;42903,89;6000;0;0;0;15290,9;196,09;0;0;15502,23;48903,89
2025;1;J;GUAYAS;PLAYAS;13358,39;1869,42;0;0;0;10254,96;4100,94;0;1959;16314,9;15227,81
2025;1;F;LOS RIOS;URDANETA;1369,48;1027,5;0;0;0;23411,63;620,7;0;0;24334,37;2396,98
2025;1;O;PICHINCHA;RUMIÑAHUI;74372,46;624895,07;0;0;0;501012;79499,91;0;17323,59;597835,5;699267,53
2025;1;J;MANABI;EL CARMEN;148966,95;318,79;0;0;0;72341,6;2621,47;0;1168,83;76480,45;149285,74
2025;1;F;ESMERALDAS;ELOY ALFARO;25468,26;0,01;0;0;0;17493,44;235,36;0;0;18196,41;25468,27
2025;1;O;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;2626,68;39833,05;0;0;0;286326,79;41991,78;0;612;328930,57;42459,73
2025;1;N;PICHINCHA;PEDRO MONCAYO;31337,28;8216,64;11778,78;0;0;28688,37;15103,89;0;421,51;44444,1;51332,7
2025;1;N;GUAYAS;SANTA LUCIA;25920,79;48485,96;0;0;0;85638,75;33845,68;0;0;119484,43;74406,75
2025;1;F;ORELLANA;AGUARICO;766,9;0;0;0;0;34125,38;9360,85;0;0;79201,1;766,9
2025;1;A;AZUAY;SIGSIG;495,88;94455,98;0;0;0;18704,04;25258,71;0;1960;45922,75;94951,86
2025;1;A;EL ORO;CHILLA;0;0;0;0;0;0;0;0;0;0;0
2025;1;T;GUAYAS;DAULE;0,01;2165;0;0;0;2460,91;2508,34;0;34,74;5165,33;2165,01
2025;1;K;EL ORO;MARCABELI;800,33;1245,92;0;0;0;49974,38;14694,8;0;10849,75;75518,93;2046,25
2025;1;Q;LOS RIOS;MONTALVO;0;3045;0;0;0;1695,1;1998,38;0;0;3693,48;3045
2025;1;E;PASTAZA;MERA;0;0;0;0;0;0;0;0;0;0;0
